"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"152","Qatar","Saudi Arabia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","634","QAT"
"153","Romania","Bulgaria","Hungary","Moldova","Republic of Serbia","Ukraine","NA","NA","NA","NA","NA","NA","NA","NA","NA","642","ROM"
"154","Russia","Azerbaijan","Belarus","China","Estonia","Finland","Georgia","Kazakhstan","Lithuania","Latvia","Norway","Poland","North Korea","Ukraine","NA","643","RUS"
"155","Rwanda","Burundi","Democratic Republic of the Congo","United Republic of Tanzania","Uganda","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","646","RWA"
"156","Western Sahara","Algeria","Mauritania","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","732","-99"
"157","Saudi Arabia","United Arab Emirates","Iraq","Jordan","Kuwait","Oman","Qatar","Yemen","NA","NA","NA","NA","NA","NA","NA","682","SAU"
"158","Scarborough Reef","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"159","Sudan","Central African Republic","Egypt","Eritrea","Ethiopia","Libya","South Sudan","Chad","NA","NA","NA","NA","NA","NA","NA","729","SDN"
"160","South Sudan","Central African Republic","Democratic Republic of the Congo","Ethiopia","Kenya","Sudan","Uganda","NA","NA","NA","NA","NA","NA","NA","NA","728","SSD"
"161","Senegal","Guinea","Gambia","Guinea Bissau","Mali","Mauritania","NA","NA","NA","NA","NA","NA","NA","NA","NA","686","SEN"
"162","Serranilla Bank","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"163","Singapore","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","702","SGP"
"164","Solomon Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","090","SLB"
"165","Sierra Leone","Guinea","Liberia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","694","SLE"
"166","El Salvador","Guatemala","Honduras","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","222","SLV"
"167","San Marino","Italy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","674","SMR"
"168","Somaliland","Djibouti","Ethiopia","Somalia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"169","Somalia","Ethiopia","Kenya","Somaliland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","706","SOM"
"170","Republic of Serbia","Bulgaria","Bosnia and Herzegovina","Croatia","Macedonia","Montenegro","Romania","NA","NA","NA","NA","NA","NA","NA","NA","688","SRB"
"171","Sao Tome and Principe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","678","STP"
"172","Suriname","Brazil","France","Guyana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","740","SUR"
"173","Slovakia","Austria","Czech Republic","Hungary","Poland","Ukraine","NA","NA","NA","NA","NA","NA","NA","NA","NA","703","SVK"
"174","Slovenia","Austria","Croatia","Hungary","Italy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","705","SVN"
"175","Sweden","Finland","Norway","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","752","SWE"
"176","Swaziland","Mozambique","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","748","SWZ"
"177","Seychelles","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","690","SYC"
"178","Syria","Iraq","Israel","Jordan","Lebanon","Turkey","NA","NA","NA","NA","NA","NA","NA","NA","NA","760","SYR"
"179","Chad","Central African Republic","Cameroon","Libya","Niger","Nigeria","Sudan","NA","NA","NA","NA","NA","NA","NA","NA","148","TCD"
"180","Togo","Benin","Burkina Faso","Ghana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","768","TGO"
"181","Thailand","Cambodia","Myanmar","Malaysia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","764","THA"
